"Site number"	"Site name"	"Transect number"	"Transect point number"	"Measurement taken in thalweg"	"Depth (m)"	"Bed substrate"	"Embeddedness (percent)"	"Silt present"	"Woody debris present"	"Overhanging vegetation present"	"Undercut banks"	"Boulders"	"Aquatic macrophytes"	"Manmade structure"	"Too turbid to determine if cover features exist"	"No habitat features"	"Habitat features not classified"
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	6	2	TRUE	0.15	6	30	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	6	3	FALSE	0.15	6	20	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	6	4	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	6	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	7	1	FALSE	0.1	4	10	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	7	2	FALSE	0.05	4	10	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	7	3	TRUE	0.1	5	20	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	7	4	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	7	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	8	1	FALSE	0.35	4	70	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	8	2	TRUE	0.35	4	30	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	8	3	FALSE	0.25	4	80	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	8	4	FALSE	0	-	-	No Observation	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	8	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	9	1	FALSE	0.2	3	60	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	9	2	TRUE	0.3	5	30	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	9	3	FALSE	0.25	4	40	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	9	4	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
